,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5678,5678,"Rte de Moncor 1, 1752 Villars-sur-Glâne, Switzerland",Interdiscount Villars-sur-Glâne Centre,ChIJxcLrkt9ujkcREzbcozHi-es,4.3,41.0,46.7980136,7.1240837,True,,
5679,5679,"Ham. de Cormanon 3, 1752 Villars-sur-Glâne, Switzerland",Frioba,ChIJuYmB_CZvjkcR9c5zJQkW3lw,5.0,1.0,46.7947783,7.130638100000001,,,
5680,5680,"Rte de Moncor 1, 1752 Villars-sur-Glâne, Switzerland",Import Parfumerie,ChIJxcLrkt9ujkcRgFKqmH4B8Us,4.7,11.0,46.7984515,7.124600399999999,True,,
5681,5681,"Rte de la Gruyère 10, 1723 Marly, Switzerland",Marché Gaillard,ChIJQaMbqL9ojkcRhLbvqE7OHxI,4.1,102.0,46.77432229999999,7.160962199999999,True,,
5682,5682,"Rte de Chésalles 19, 1723 Marly, Switzerland",Cap sur le VRAC,ChIJsZQy4jFvjkcRA1xQW8O6xb8,5.0,5.0,46.7721241,7.1574629,True,,
5683,5683,"Rte de Chésalles 18, 1723 Marly, Switzerland",BERGER SA,ChIJL6VhqWBpjkcR8DtUPBl2z2o,4.8,11.0,46.772763,7.157889,True,,
5684,5684,"Rte de Matran 66, 1725 Hauterive, Switzerland",Vente directe ferme - self-service - famille Zamofing,ChIJa01ZAGFvjkcRwm1ANSmMo3Y,0.0,0.0,46.7658677,7.096084899999999,True,,
5685,5685,"Rte de Fribourg 77, 1725 Posieux, Switzerland",Boulangerie Pâtisserie Marchon et Favre Vis-à-vis,ChIJp2JWnoBljkcRdBJJ8VdEUSI,4.1,75.0,46.7606598,7.0947996,True,,
5686,5686,"Pré-Vert 52, 1791 Courtaman, Switzerland",Association hungaria,ChIJjbGgF9ttjkcRzC_UjGr4Vsk,5.0,1.0,46.8666572,7.1271042,,,
5687,5687,"Rte de Rossens 11, 1726 Farvagny, Switzerland",Pharmacie du Gibloux Au centre commercial,ChIJ0QOUpeJkjkcR8bzepmn_llk,4.2,10.0,46.72308959999999,7.0689215,True,,
5710,5710,"Sur les Jardins 2, 1595 Faoug, Switzerland",André Hauri,ChIJV4_Mt6dyjkcRFKDJfxqjvVI,0.0,0.0,46.9065661,7.0781674,,,
5711,5711,"Rte de Morat 11, 1784 Wallenried, Switzerland",Landi Courtepin,ChIJO4sb6lNsjkcRR2xgOxwV_p0,4.3,235.0,46.869856,7.122136999999999,True,,
